개방자치단체코드,관리번호,구분명,근거법령명,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,WGS84위도,WGS84경도,화장실소유구분명,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3000000,2.0253E+17,공중화장실,법제3조제16호-영제3조제1항제1호,누상동체육시설 공중화장실,서울특별시 종로구 옥인6길 26-17,서울특별시 종로구 누상동 산1-3,1,1,0,0,0,0,1,0,0,종로구청 청소행정과,221482383,상시,,201805,37.58011,126.96367,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,N,N,,,2024-12-31,I,2026-05-15 18:43,2025-11-10 9:45
3000000,2.0253E+17,개방화장실,법제3조제16호-영제3조제1항제1호,종로문화체육센터,서울특별시 종로구 인왕산로1길 21,서울특별시 종로구 사직동 284-1,2,3,1,1,1,1,7,1,1,종로구시설관리공단 건강사업부,27329393,정시,09:00~18:00,,37.57428,126.96468,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,Y,Y,장애인화장실,N,Y,여자화장실,,2024-12-31,I,2026-05-15 18:43,2025-11-10 9:45
3000000,2.0253E+17,공중화장실,법제3조제16호-영제3조제1항제1호,통인시장 고객만족센터,서울특별시 종로구 자하문로 15길 18,서울특별시 종로구 통인동 10-3,2,3,1,0,0,0,4,1,0,통인시장 상인회,27220911,정시,11:00~16:00,201002,37.58077,126.96995,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,N,Y,여자화장실,,2024-12-31,I,2026-05-15 18:43,2025-11-10 9:45
3000000,2.0253E+17,개방화장실,법제3조제16호-영제3조제1항제1호,보건소,서울특별시 종로구 자하문로19길 36,서울특별시 종로구 옥인동 45-30,7,7,0,0,0,0,10,0,0,종로보건소,221483520,정시,평일9시간(09:00~18:00),,37.58177,126.96926,공공기관-지방자치단체,수세식,Y,N,,N,N,,,2024-12-31,I,2026-05-15 18:43,2025-11-10 9:45
3000000,2.0253E+17,개방화장실,법제3조제17호-영제3조제2항제1호,"광장시장(합동,화창빌딩)",서울특별시 종로구 종로 194-7,서울특별시 종로구 종로4가 158,2,2,0,0,0,0,2,0,0,"광장시장(합동,화창빌딩)",,정시,07:00-18:00+일요일폐쇄,,37.57042,126.99938,민간,수세식,N,N,,N,N,,,2024-12-31,I,2026-05-15 18:43,2025-11-10 9:45
3000000,2.0253E+17,공중화장실,법제3조제16호-영제3조제1항제1호,동대문역(4),서울특별시 종로구 종로6가 287-1 동대문역(4호선),서울특별시 종로구 종로6가,2,4,0,0,0,0,4,0,0,서울교통공사,261104211,정시,05~24,,37.561159,126.994398,공공기관-국가공공기관,수세식,N,Y,장애인화장실+남자화장실+여자화장실,Y,N,,,2024-12-31,I,2026-05-15 18:43,2025-11-10 9:45
3000000,2.0253E+17,공중화장실,법제3조제16호-영제3조제1항제1호,안국역(3),서울특별시 종로구 안국동 155-2 3호선 안국역,서울특별시 종로구 안국동 1,4,4,0,0,0,0,4,0,0,서울교통공사,261103281,정시,05~24,,37.566412,126.994185,공공기관-국가공공기관,수세식,N,Y,장애인화장실+남자화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-12-31,I,2026-05-15 18:43,2025-11-10 9:45
3000000,2.0253E+17,공중화장실,법제3조제16호-영제3조제1항제1호,동묘앞역(1),서울특별시 종로구 숭인동 117 동묘앞역(1호선),서울특별시 종로구 숭인동 1,1,2,0,0,0,0,1,0,0,서울교통공사,261101271,정시,05~24,,37.573281,127.016649,공공기관-국가공공기관,수세식,N,Y,장애인화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-12-31,I,2026-05-15 18:43,2025-11-10 9:45
3000000,2.0253E+17,개방화장실,법제3조제17호-영제3조제2항제1호,버거킹(종로점),서울특별시 종로구 종로 94,서울특별시 종로구 종로2가 56-23,1,1,0,0,0,0,4,0,0,버거킹(종로점),,정시,09:00-24:00,,37.56994,126.98811,민간,수세식,N,N,,N,N,,,2024-12-31,I,2026-05-15 18:43,2025-11-10 9:45
3000000,2.0253E+17,공중화장실,법제3조제16호-영제3조제1항제1호,인왕산 청운지구(2)(청운공원 화장실),서울특별시 종로구 청운동 7-3,서울특별시 종로구 청운동 7-3,2,3,1,0,0,0,5,1,1,종로구청 도시녹지과,221482832,상시,,200901,37.59103,126.96627,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,Y,N,,,2024-12-31,I,2026-05-15 18:43,2025-11-10 9:45
3000000,2.0253E+17,개방화장실,법제3조제17호-영제3조제2항제1호,허리우드극장(낙원상가4층),서울특별시 종로구 삼일대로 428,서울특별시 종로구 낙원동 284-6,3,5,1,1,0,0,9,1,0,허리우드극장(낙원상가4층),,정시,09:30-17:00,,37.57258,126.98781,민간,수세식,N,N,,N,N,,,2024-12-31,I,2026-05-15 18:43,2025-11-10 9:45
3000000,2.0253E+17,개방화장실,법제3조제16호-영제3조제1항제1호,종묘공영주차장(주차시설운영처),서울특별시 종로구 훈정동 2,서울특별시 종로구 훈정동 1-2,3,6,0,0,0,0,3,0,0,서울시설공단 주차시설운영처,222906114,정시,00~24,200001,37.5715,126.99505,공공기관-국가공공기관,수세식,N,N,,Y,N,,,2024-12-31,I,2026-05-15 18:43,2025-11-10 9:45
3000000,2.0253E+17,개방화장실,법제3조제16호-영제3조제1항제1호,동대문지하상가 화장실,서울특별시 종로구 율곡로 지하 308,서울특별시 종로구 종로6가 287-1 4호선 동대문역,3,5,0,0,0,0,8,0,0,서울시시설관리공단,222906545,정시,06:00~24:00,,37.57616,126.99479,공공기관-국가공공기관,수세식,N,Y,장애인화장실+여자화장실,Y,N,,,2024-12-31,I,2026-05-15 18:43,2025-11-10 9:45
